Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
3/18/18 0:00,3/19/18 0:00,0,0.046401797,0,0,115
3/19/18 0:00,3/20/18 0:00,214.656,1.762092387,1,125,3739
3/20/18 0:00,3/21/18 0:00,197.426,1.869868454,7,156,4042.049054
3/21/18 0:00,3/22/18 0:00,203.418,1.476132557,4,138,3150
3/22/18 0:00,3/23/18 0:00,0,0.074470053,0,0,176
3/23/18 0:00,3/24/18 0:00,0,0.07568242,0,0,194
3/24/18 0:00,3/25/18 0:00,0,0.018272289,0,0,42
3/25/18 0:00,3/26/18 0:00,0,0.052208087,0,0,131
3/26/18 0:00,3/27/18 0:00,221.318,1.620890912,2,100,3341
3/27/18 0:00,3/28/18 0:00,2.811,0.21635616,2,78,512
3/28/18 0:00,3/29/18 0:00,177.428,2.045152701,0,113,4496.347028
3/29/18 0:00,3/30/18 0:00,0,0.689617804,0,0,1708
3/30/18 0:00,3/31/18 0:00,0.015,0.099192953,0,67,254
3/31/18 0:00,4/1/18 0:00,0,0.06620765,0,0,160
4/1/18 0:00,4/2/18 0:00,0.256,0,0,0,0
4/2/18 0:00,4/3/18 0:00,181.162,1.462779841,2,123,3055
4/3/18 0:00,4/4/18 0:00,160.543,1.497893807,0,129,3298
4/4/18 0:00,4/5/18 0:00,243.542,2.074000564,2,106,4410
4/5/18 0:00,4/6/18 0:00,0,0.037837496,0,0,95
4/6/18 0:00,4/7/18 0:00,0,0.056335544,0,0,141
4/7/18 0:00,4/8/18 0:00,0,0.023639555,0,0,63
4/8/18 0:00,4/9/18 0:00,0.071,0.91193462,1,0,2204
4/9/18 0:00,4/10/18 0:00,183.426,1.213043003,2,103,2544
4/10/18 0:00,4/11/18 0:00,102.604,0.93505445,4,95,2009
4/11/18 0:00,4/12/18 0:00,215.897,1.802509838,13,132,3851.239072
4/12/18 0:00,4/13/18 0:00,192.148,1.504169817,3,136,3160
4/13/18 0:00,4/14/18 0:00,0.109,1.529570549,2,133,3988
4/14/18 0:00,4/15/18 0:00,0,4.727785849,5,0,12949
4/15/18 0:00,4/16/18 0:00,0,4.822766309,8,0,11297
4/16/18 0:00,4/17/18 0:00,0,2.58899647,4,0,6400
4/17/18 0:00,4/18/18 0:00,0,0.600147143,1,0,1588
4/18/18 0:00,4/19/18 0:00,0,1.141226767,2,0,2774
4/19/18 0:00,4/20/18 0:00,0.222,0.014755286,0,0,39
4/20/18 0:00,4/21/18 0:00,138.143,1.04386663,1,116,2221.285117
4/21/18 0:00,4/22/18 0:00,0,0.017173287,0,0,43
4/22/18 0:00,4/23/18 0:00,38.8,0.414249076,1,107,869
4/23/18 0:00,4/24/18 0:00,215.035,1.43380633,3,135,2977
4/24/18 0:00,4/25/18 0:00,184.7550183,1.258267332,1,147,2665
